nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6269.41,2.74241598014e-06
6269.42,2.45985030795e-06
6269.43,2.28761776419e-06
6269.44,2.16997977029e-06
6269.45,2.014906125e-06
6269.46,1.80486431749e-06
6269.47,1.60860153429e-06
6269.48,1.48303451048e-06
6269.49,1.42154538883e-06
6269.5,1.3832819223e-06
6269.51,1.33469909016e-06
6269.52,1.27019670344e-06
6269.53,1.20947672114e-06
6269.54,1.16995443622e-06
6269.55,1.14938464361e-06
6269.56,1.14255113406e-06
6269.57,1.15372251676e-06
6269.58,1.18386092473e-06
6269.59,1.23036517309e-06
6269.6,1.30468990253e-06
6269.61,1.4302359811e-06
6269.62,1.63179343212e-06
6269.63,1.94078696108e-06
6269.64,2.40068251067e-06
6269.65,3.05562746448e-06
6269.66,3.90060651634e-06
6269.67,4.76826193897e-06
6269.68,5.27240334295e-06
6269.69,5.09583343047e-06
6269.7,4.38346818206e-06
6269.71,3.56439869663e-06
6269.72,2.91225589778e-06
6269.73,2.46457843017e-06
6269.74,2.16138588892e-06
6269.75,1.94578786441e-06
6269.76,1.79236295503e-06
6269.77,1.69513399442e-06
6269.78,1.65634791512e-06
6269.79,1.68660462584e-06
6269.8,1.80063747569e-06
6269.81,2.01205812826e-06
6269.82,2.33484280722e-06
6269.83,2.77959914721e-06
6269.84,3.34399630023e-06
6269.85,4.02215302906e-06
6269.86,4.75172192773e-06
6269.87,5.25053554584e-06
6269.88,5.14147955736e-06
6269.89,4.45170363882e-06
6269.9,3.61270078479e-06
6269.91,2.94546516273e-06
6269.92,2.47782951727e-06
6269.93,2.11804887949e-06
6269.94,1.82444733804e-06
6269.95,1.61788761476e-06
6269.96,1.51853842809e-06
6269.97,1.52345988485e-06
6269.98,1.60967289856e-06
6269.99,1.72405704349e-06
6270.0,1.77767863126e-06
6270.01,1.70999167017e-06
6270.02,1.56548193589e-06
6270.03,1.43487408158e-06
6270.04,1.36430260163e-06
6270.05,1.36396336148e-06
6270.06,1.44918151808e-06
6270.07,1.64667445102e-06
6270.08,1.97807642417e-06
6270.09,2.42066170245e-06
6270.1,2.83245987721e-06
6270.11,2.97569041372e-06
6270.12,2.76026752174e-06
6270.13,2.34693536863e-06
6270.14,1.92245149696e-06
6270.15,1.56481632215e-06
6270.16,1.28786856713e-06
6270.17,1.09089381782e-06
6270.18,9.7009125702e-07
6270.19,9.11616286501e-07
6270.2,8.87610214908e-07
6270.21,8.64075939011e-07
6270.22,8.17727081328e-07
6270.23,7.47160880768e-07
6270.24,6.70313747585e-07
6270.25,6.06041057962e-07
6270.26,5.61518875585e-07
6270.27,5.36761593952e-07
6270.28,5.31019760933e-07
6270.29,5.44631054247e-07
6270.3,5.78468573966e-07
6270.31,6.31487630468e-07
6270.32,6.99753334084e-07
6270.33,7.7888741675e-07
6270.34,8.60996377492e-07
6270.35,9.31580397063e-07
6270.36,9.80358103677e-07
6270.37,1.00514766561e-06
6270.38,9.95380444516e-07
6270.39,9.36507811178e-07
6270.4,8.40929134135e-07
6270.41,7.44885153942e-07
6270.42,6.7506741049e-07
6270.43,6.32882044522e-07
6270.44,6.06274517986e-07
6270.45,5.87000229021e-07
6270.46,5.69924935174e-07
6270.47,5.46351272789e-07
6270.48,5.15380066375e-07
6270.49,4.88350044166e-07
6270.5,4.73076234835e-07
6270.51,4.67616568121e-07
6270.52,4.69604029502e-07
6270.53,4.81029681513e-07
6270.54,5.03264469932e-07
6270.55,5.37176044711e-07
6270.56,5.89458825882e-07
6270.57,6.6937522926e-07
6270.58,7.75250248054e-07
6270.59,8.82341321438e-07
6270.6,9.43963606014e-07
6270.61,9.27395035214e-07
6270.62,8.5082134834e-07
6270.63,7.6006407923e-07
6270.64,6.87599841191e-07
6270.65,6.41133091552e-07
6270.66,6.14768630515e-07
6270.67,6.03824644507e-07
6270.68,6.10137375804e-07
6270.69,6.38628227293e-07
6270.7,6.94343861882e-07
6270.71,7.83283164877e-07
6270.72,9.12164976888e-07
6270.73,1.08448487085e-06
6270.74,1.2988343543e-06
6270.75,1.55009349974e-06
6270.76,1.81271476417e-06
6270.77,2.03375983365e-06
6270.78,2.18328483092e-06
6270.79,2.27807738363e-06
6270.8,2.34889693194e-06
6270.81,2.42160659911e-06
6270.82,2.48898191843e-06
6270.83,2.49992931737e-06
6270.84,2.42006925224e-06
6270.85,2.27485522691e-06
6270.86,2.11247118519e-06
6270.87,1.9736319451e-06
6270.88,1.89751665525e-06
6270.89,1.9152736117e-06
6270.9,2.03443172496e-06
6270.91,2.24082996484e-06
6270.92,2.51809894725e-06
6270.93,2.83212839202e-06
6270.94,3.07284701042e-06
6270.95,3.10402682276e-06
6270.96,2.93099916718e-06
6270.97,2.7105529829e-06
6270.98,2.58527016557e-06
6270.99,2.60843368509e-06
6271.0,2.79554574804e-06
6271.01,3.17239220015e-06
6271.02,3.7744832801e-06
6271.03,4.6074651574e-06
6271.04,5.56882974775e-06
6271.05,6.36753316653e-06
6271.06,6.57527629667e-06
6271.07,6.00105028005e-06
6271.08,4.9577328566e-06
6271.09,3.91393570149e-06
6271.1,3.11046871552e-06
6271.11,2.57291321511e-06
6271.12,2.25082463614e-06
6271.13,2.08993805835e-06
